gutenberg.id,title,author,gutenberg.author.id,gutenberg.bookshelf,flesch.value,flesch.grade,level,average.goodreads.rating
2871,The Variation of Animals and Plants under Domestication — Volume 1,"Darwin, Charles",485,Animals-Domestic/Botany,63.18249316,8-9,B2,3.12
28897,"The Variation of Animals and Plants Under Domestication, Volume II (of 2)","Darwin, Charles",485,Animals-Domestic,61.30814415,8-9,B2,2.67
944,The Voyage of the Beagle,"Darwin, Charles",485,Travel/Harvard Classics,64.51496826,8-9,B2,4.03
17221,History of the Plague in London,"Defoe, Daniel",204,Children's History/Historical Fiction,69.47214182,8-9,B2,3.41
12259,"Memoirs of a Cavalier
A Military Journal of the Wars in Germany, and the Wars in England.
From the Year 1632 to the Year 1648.","Defoe, Daniel",204,Historical Fiction/Germany,66.72659435,8-9,B2,3.15
31053,"The History of the Devil, As Well Ancient as Modern: In Two Parts","Defoe, Daniel",204,Banned Books from Anne Haight's list,66.13577971,8-9,B2,3.69
14065,"The History of the Remarkable Life of John Sheppard
Containing a Particular Account of His Many Robberies and Escapes","Defoe, Daniel",204,Crime Nonfiction,60.8352602,8-9,B2,2.5
8578,The Grand Inquisitor,"Dostoyevsky, Fyodor",314,Racism,68.38927446,8-9,B2,4.35
99,Collected Articles of Frederick Douglass,"Douglass, Frederick",34510,Slavery/African American Writers,61.96396501,8-9,B2,4.16
202,My Bondage and My Freedom,"Douglass, Frederick",34510,Slavery/African American Writers,68.68027017,8-9,B2,4.31
24951,"The War in South Africa, Its Cause and Conduct","Doyle, Arthur Conan",69,Boer War,60.36716858,8-9,B2,2.71
408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",226,African American Writers,65.38550096,8-9,B2,4.25
17700,"The Suppression of the African Slave Trade to the United States of America
1638-1870","Du Bois, W. E. B. (William Edward Burghardt)",226,African American Writers/Africa,68.86759197,8-9,B2,4.11
2760,Celebrated Crimes (Complete),"Dumas, Alexandre",492,Crime Nonfiction,66.14001221,8-9,B2,3.26
2742,"Cenci
Celebrated Crimes","Dumas, Alexandre",492,Crime Nonfiction,61.8493366,8-9,B2,3.49
2750,"Joan of Naples
Celebrated Crimes","Dumas, Alexandre",492,Crime Nonfiction,66.3189166,8-9,B2,3.07
2745,"Karl Ludwig Sand
Celebrated Crimes","Dumas, Alexandre",492,Crime Nonfiction,68.10032631,8-9,B2,3.94
2758,"Marquise De Ganges
Celebrated Crimes","Dumas, Alexandre",492,Crime Nonfiction,64.25078418,8-9,B2,3.52
2752,"Martin Guerre
Celebrated Crimes","Dumas, Alexandre",492,Crime Nonfiction,69.6035174,8-9,B2,3.67
2945,Essays — Second Series,"Emerson, Ralph Waldo",1071,Harvard Classics,67.72306911,8-9,B2,3.76
6312,Representative Men: Seven Lectures,"Emerson, Ralph Waldo",1071,Biographies,66.8018061,8-9,B2,3.89
20203,Autobiography of Benjamin Franklin,"Franklin, Benjamin",92,Harvard Classics,63.64378549,8-9,B2,3.82
148,The Autobiography of Benjamin Franklin,"Franklin, Benjamin",92,Harvard Classics,62.96778289,8-9,B2,3.82
9216,"Beneath an Umbrella (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,67.95675888,8-9,B2,3
9215,"Chippings with a Chisel (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,60.58427662,8-9,B2,3.38
9208,"Fancy's Show-Box (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,66.87802793,8-9,B2,3.17
9205,"Sights from a Steeple (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,67.65153226,8-9,B2,3
9209,"The Haunted Mind (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,67.69197496,8-9,B2,3.69
77,The House of the Seven Gables,"Hawthorne, Nathaniel",28,Best Books Ever Listings,64.63182952,8-9,B2,3.45
33,The Scarlet Letter,"Hawthorne, Nathaniel",28,Movie Books/Harvard Classics,64.516388,8-9,B2,3.37
9213,"The Seven Vagabonds (From ""Twice Told Tales"")","Hawthorne, Nathaniel",28,Children's Literature,60.68036047,8-9,B2,2.17
